SourceFiscalYearName,SourceFiscalYear,SARSname,Shorthand
2006-LB APACHE BLOCK III,2006,LB APACHE BLOCK III,AB3 APACHE Block III
2007-APACHE BLOCK III (AB3),2007,APACHE BLOCK III (AB3),AB3 APACHE Block III
2008-APACHE BLOCK III (AB3),2008,APACHE BLOCK III (AB3),AB3 APACHE Block III
2010-APACHE BLOCK III,2010,APACHE BLOCK III (AB3),AB3 APACHE Block III
2009-AB3,2009,AB3,AB3 APACHE Block III
2010-AB3A REMANUFACTURE,2010,AB3A REMANUFACTURE,AB3A REMANUFACTURE
2011-AB3A REMANUFACTURE,2011,AB3A REMANUFACTURE,AB3A REMANUFACTURE
2010-AB3B NEW BUILD,2010,AB3B NEW BUILD,AB3B NEW BUILD
2011-AB3B NEW BUILD,2011,AB3B NEW BUILD,AB3B NEW BUILD
2004-ACS,2004,ACS,ACS
2005-ACS,2005,ACS,ACS
2006-ADS,2006,ADS,ADS Increment Alpha
2007-ADS (AN/WQR-3),2007,ADS (AN/WQR-3),ADS Increment Alpha
2001-AEHF,2001,AEHF,AEHF
2002-AEHF,2002,AEHF,AEHF
2003-AEHF,2003,AEHF,AEHF
2004-AEHF,2004,AEHF,AEHF
2005-AEHF,2005,AEHF,AEHF
2006-AEHF,2006,AEHF,AEHF
2007-AEHF,2007,AEHF,AEHF
2008-AEHF,2008,AEHF,AEHF
2009-AEHF,2009,AEHF,AEHF
2010-AEHF,2010,AEHF,AEHF
2011-AEHF,2011,AEHF,AEHF
2001-AESA,2001,AESA,AESA
2002-AESA (RDT&E),2002,AESA (RDT&E),AESA
2003-AESA (RDT&E),2003,AESA (RDT&E),AESA
2004-AESA (RDT&E),2004,AESA (RDT&E),AESA
2005-AESA,2005,AESA,AESA
2003-AGM-88E (AARGM),2003,AGM-88E (AARGM),AGM-88E
2004-AGM-88E (AARGM),2004,AGM-88E (AARGM),AGM-88E
2005-AGM-88E (AARGM),2005,AGM-88E (AARGM),AGM-88E
2006-AGM-88E (AARGM),2006,AGM-88E (AARGM),AGM-88E
2007-AGM-88E AARGM,2007,AGM-88E AARGM,AGM-88E
2008-AGM-88E AARGM,2008,AGM-88E AARGM,AGM-88E
2009-AGM-88E AARGM,2009,AGM-88E AARGM,AGM-88E
2010-AGM-88E AARGM,2010,AGM-88E AARGM,AGM-88E
2011-AGM-88E AARGM,2011,AGM-88E AARGM,AGM-88E
2001-AIM-9X,2001,AIM-9X,AIM-9X
2002-AIM-9X,2002,AIM-9X,AIM-9X
2003-AIM-9X,2003,AIM-9X,AIM-9X
2004-AIM-9X,2004,AIM-9X,AIM-9X
2005-AIM-9X,2005,AIM-9X,AIM-9X
2006-AIM-9X,2006,AIM-9X,AIM-9X
2007-AIM-9X,2007,AIM-9X,AIM-9X
2008-AIM-9X,2008,AIM-9X,AIM-9X
2009-AIM-9X,2009,AIM-9X,AIM-9X
2010-AIM-9X,2010,AIM-9X,AIM-9X
2011-AIM-9X Block I,2011,AIM-9X Block I,AIM-9X Block I
2000-Air Force Subtotal,2000,Air Force Subtotal,Air Force Subtotal
2001-Air Force Subtotal,2001,Air Force Subtotal,Air Force Subtotal
2002-Air Force Subtotal,2002,Air Force Subtotal,Air Force Subtotal
2003-Air Force Subtotal,2003,Air Force Subtotal,Air Force Subtotal
2004-Air Force Subtotal,2004,Air Force Subtotal,Air Force Subtotal
2005-Air Force Subtotal,2005,Air Force Subtotal,Air Force Subtotal
2006-Air Force Subtotal,2006,Air Force Subtotal,Air Force Subtotal
2007-Air Force Subtotal,2007,Air Force Subtotal,Air Force Subtotal
2008-Air Force Subtotal,2008,Air Force Subtotal,Air Force Subtotal
2009-Air Force Subtotal,2009,Air Force Subtotal,Air Force Subtotal
2010-Air Force Subtotal,2010,Air Force Subtotal,Air Force Subtotal
2011-Air Force Subtotal,2011,Air Force Subtotal,Air Force Subtotal
2012-Air Force Subtotal,2012,Air Force Subtotal,Air Force Subtotal
2013-Air Force Subtotal,2013,Air Force Subtotal,Air Force Subtotal
2010-AMF JTRS,2010,AMF JTRS,AMF JTRS
2011-AMF JTRS,2011,AMF JTRS,AMF JTRS
2001-AMRAAM,2001,AMRAAM,AMRAAM
2002-AMRAAM,2002,AMRAAM,AMRAAM
2003-AMRAAM,2003,AMRAAM,AMRAAM
2004-AMRAAM,2004,AMRAAM,AMRAAM
2005-AMRAAM,2005,AMRAAM,AMRAAM
2006-AMRAAM,2006,AMRAAM,AMRAAM
2007-AMRAAM,2007,AMRAAM,AMRAAM
2008-AMRAAM,2008,AMRAAM,AMRAAM
2009-AMRAAM,2009,AMRAAM,AMRAAM
2010-AMRAAM,2010,AMRAAM,AMRAAM
2011-AMRAAM,2011,AMRAAM,AMRAAM
2005-ARH,2005,ARH,ARH
2006-ARH,2006,ARH,ARH
2007-ARH,2007,ARH,ARH
2008-ARH,2008,ARH,ARH
2000-Army Subtotal,2000,Army Subtotal,Army Subtotal
2001-Army Subtotal,2001,Army Subtotal,Army Subtotal
2002-Army Subtotal,2002,Army Subtotal,Army Subtotal
2003-Army Subtotal,2003,Army Subtotal,Army Subtotal
2004-Army Subtotal,2004,Army Subtotal,Army Subtotal
2005-Army Subtotal,2005,Army Subtotal,Army Subtotal
2006-Army Subtotal,2006,Army Subtotal,Army Subtotal
2007-Army Subtotal,2007,Army Subtotal,Army Subtotal
2008-Army Subtotal,2008,Army Subtotal,Army Subtotal
2009-Army Subtotal,2009,Army Subtotal,Army Subtotal
2010-Army Subtotal,2010,Army Subtotal,Army Subtotal
2011-Army Subtotal,2011,Army Subtotal,Army Subtotal
2012-Army Subtotal,2012,Army Subtotal,Army Subtotal
2013-Army Subtotal,2013,Army Subtotal,Army Subtotal
2003-ASDS,2003,ASDS,ASDS
2004-ASDS,2004,ASDS,ASDS
2005-ASDS,2005,ASDS,ASDS
2010-ASIP,2010,ASIP,ASIP
2001-ATACMS-BAT,2001,ATACMS-BAT,ATACMS-BAT
2002-ATACMS-BAT,2002,ATACMS-BAT,ATACMS-BAT
2001-ATIRCM/CMWS,2001,ATIRCM/CMWS,ATIRCM/CMWS
2002-ATIRCM/CMWS,2002,ATIRCM/CMWS,ATIRCM/CMWS
2003-ATIRCM/CMWS,2003,ATIRCM/CMWS,ATIRCM/CMWS
2004-ATIRCM/CMWS,2004,ATIRCM/CMWS,ATIRCM/CMWS
2005-ATIRCM/CMWS,2005,ATIRCM/CMWS,ATIRCM/CMWS
2006-ATIRCM/CMWS,2006,ATIRCM/CMWS,ATIRCM/CMWS
2007-ATIRCM/CMWS,2007,ATIRCM/CMWS,ATIRCM/CMWS
2008-ATIRCM/CMWS,2008,ATIRCM/CMWS,ATIRCM/CMWS
2009-ATIRCM/CMWS,2009,ATIRCM/CMWS,ATIRCM/CMWS
2009-ATIRCM/CMWS: CMWS,2009,ATIRCM/CMWS: CMWS,ATIRCM/CMWS SPLIT
2009-ATIRCM/CMWS: QRC,2009,ATIRCM/CMWS: QRC,ATIRCM/CMWS SPLIT
2010-ATIRCM/CMWS,2010,ATIRCM/CMWS,ATIRCM/CMWS
2010-ATIRCM/CMWS - ATIRCM QRC,2010,ATIRCM/CMWS - ATIRCM QRC,ATIRCM/CMWS SPLIT
2010-ATIRCM/CMWS - CMWS,2010,ATIRCM/CMWS - CMWS,ATIRCM/CMWS SPLIT
2001-AV-8B REMAN,2001,AV-8B REMAN,AV-8B REMANUFACTURE
2002-AV-8B REMANUFACTURE,2002,AV-8B REMANUFACTURE,AV-8B REMANUFACTURE
2001-AWACS RSIP (E-3),2001,AWACS RSIP (E-3),AWACS Upgrade
2002-AWACS RSIP (E-3),2002,AWACS RSIP (E-3),AWACS Upgrade
2003-AWACS RSIP (E-3),2003,AWACS RSIP (E-3),AWACS Upgrade
2001-B-1 CMUP,2001,B-1 CMUP,B-1B CMUP
2001-B-1B CMUP,2001,B-1B CMUP,B-1B CMUP
2002-B-1B CMUP,2002,B-1B CMUP,B-1B CMUP
2003-B-1B CMUP,2003,B-1B CMUP,B-1B CMUP
2004-B-1B CMUP,2004,B-1B CMUP,B-1B CMUP
2007-B-2 EHF INCREMENT 1,2007,B-2 EHF INCREMENT 1,B-2 EHF Increment I
2008-B-2 EHF INCREMENT 1,2008,B-2 EHF INCREMENT 1,B-2 EHF Increment I
2009-B-2 EHF SATCOM AND COMPUTER,2009,B-2 EHF SATCOM AND COMPUTER,B-2 EHF Increment I
2009-B-2 EHF SATCOM AND COMPUTER INCREMENT I,2009,B-2 EHF SATCOM AND COMPUTER INCREMENT I,B-2 EHF Increment I
2010-B-2 EHF SATCOM AND COMPUTER INCREMENT I,2010,B-2 EHF SATCOM AND COMPUTER INCREMENT I,B-2 EHF Increment I
2011-B-2 EHF SATCOM AND COMPUTER INCREMENT I,2011,B-2 EHF SATCOM AND COMPUTER INCREMENT I,B-2 EHF Increment I
2004-B-2 RMP,2004,B-2 RMP,B-2 RMP
2005-B-2 RMP,2005,B-2 RMP,B-2 RMP
2006-B-2 RMP,2006,B-2 RMP,B-2 RMP
2007-B-2 RMP,2007,B-2 RMP,B-2 RMP
2008-B-2 RMP,2008,B-2 RMP,B-2 RMP
2009-B-2 RMP,2009,B-2 RMP,B-2 RMP
2010-B-2 RMP,2010,B-2 RMP,B-2 RMP
2010-MQ-4C UAS BAMS,2010,MQ-4C UAS BAMS,BAMS
2011-MQ-4C UAS BAMS,2011,MQ-4C UAS BAMS,BAMS
2002-BMDS (RDT&E Only),2002,BMDS (RDT&E Only),BDMS (RDT&E)
2002-BMDS (RDT&E Only),2002,BMDS (RDT&E Only),BDMS (RDT&E)
2003-BMDS (RDT&E),2003,BMDS (RDT&E),BDMS (RDT&E)
2004-BMDS (RDT&E) CHEM,2004,BMDS (RDT&E) CHEM,BDMS (RDT&E)
2004-BMDS,2004,BMDS,BMDS
2005-BMDS,2005,BMDS,BMDS
2006-BMDS,2006,BMDS,BMDS
2007-BMDS,2007,BMDS,BMDS
2008-BMDS,2008,BMDS,BMDS
2009-BMDS,2009,BMDS,BMDS
2010-BMDS,2010,BMDS,BMDS
2011-BMDS,2011,BMDS,BMDS
2001-BRADLEY UPGRADE,2001,BRADLEY UPGRADE,BRADLEY UPGRADE
2002-BRADLEY UPGRADE,2002,BRADLEY UPGRADE,BRADLEY UPGRADE
2003-BRADLEY UPGRADE,2003,BRADLEY UPGRADE,BRADLEY UPGRADE
2004-BRADLEY UPGRADE,2004,BRADLEY UPGRADE,BRADLEY UPGRADE
2005-BRADLEY UPGRADE,2005,BRADLEY UPGRADE,BRADLEY UPGRADE
2006-BRADLEY UPGRADE,2006,BRADLEY UPGRADE,BRADLEY UPGRADE
2007-BRADLEY UPGRADE,2007,BRADLEY UPGRADE,BRADLEY UPGRADE
2008-BRADLEY UPGRADE,2008,BRADLEY UPGRADE,BRADLEY UPGRADE
2009-BRADLEY,2009,BRADLEY,BRADLEY UPGRADE
2009-BRADLEY UPGRADE,2009,BRADLEY UPGRADE,BRADLEY UPGRADE
2002-C-130 AMP,2002,C-130 AMP,C-130AMP
2003-C-130 AMP,2003,C-130 AMP,C-130AMP
2004-C-130 AMP,2004,C-130 AMP,C-130AMP
2005-C-130 AMP,2005,C-130 AMP,C-130AMP
2006-C-130 AMP,2006,C-130 AMP,C-130AMP
2007-C-130 AMP,2007,C-130 AMP,C-130AMP
2008-C-130 AMP,2008,C-130 AMP,C-130AMP
2009-C-130 AMP,2009,C-130 AMP,C-130AMP
2010-C-130 AMP,2010,C-130 AMP,C-130AMP
2011-C-130 AMP,2011,C-130 AMP,C-130AMP
2001-C-130J,2001,C-130J,C-130J
2002-C-130J,2002,C-130J,C-130J
2003-C-130J,2003,C-130J,C-130J
2004-C-130J,2004,C-130J,C-130J
2005-C-130J,2005,C-130J,C-130J
2006-C-130J,2006,C-130J,C-130J
2007-C-130J,2007,C-130J,C-130J
2008-C-130J,2008,C-130J,C-130J
2009-C-130J,2009,C-130J,C-130J
2010-C-130J,2010,C-130J,C-130J
2011-C-130J,2011,C-130J,C-130J
2001-C-17A,2001,C-17A,C-17A
2002-C-17A,2002,C-17A,C-17A
2003-C-17A,2003,C-17A,C-17A
2004-C-17A,2004,C-17A,C-17A
2005-C-17A,2005,C-17A,C-17A
2006-C-17A,2006,C-17A,C-17A
2007-C-17A,2007,C-17A,C-17A
2008-C-17A,2008,C-17A,C-17A
2009-C-17A,2009,C-17A,C-17A
2010-C-17A,2010,C-17A,C-17A
2006-C-5 AMP,2006,C-5 AMP,C-5 AMP
2007-C-5 AMP,2007,C-5 AMP,C-5 AMP
2008-C-5 AMP,2008,C-5 AMP,C-5 AMP
2009-C-5 AMP,2009,C-5 AMP,C-5 AMP
2010-C-5 AMP,2010,C-5 AMP,C-5 AMP
2002-C-5 RERP,2002,C-5 RERP,C-5 RERP
2003-C-5 RERP,2003,C-5 RERP,C-5 RERP
2004-C-5 RERP,2004,C-5 RERP,C-5 RERP
2005-C-5 RERP,2005,C-5 RERP,C-5 RERP
2006-C-5 RERP,2006,C-5 RERP,C-5 RERP
2007-C-5 RERP,2007,C-5 RERP,C-5 RERP
2008-C-5 RERP,2008,C-5 RERP,C-5 RERP
2009-C-5 RERP,2009,C-5 RERP,C-5 RERP
2010-C-5 RERP,2010,C-5 RERP,C-5 RERP
2011-C-5 RERP,2011,C-5 RERP,C-5 RERP
2001-CEC,2001,CEC,CEC
2002-CEC,2002,CEC,CEC
2003-CEC,2003,CEC,CEC
2004-CEC,2004,CEC,CEC
2005-CEC,2005,CEC,CEC
2006-CEC,2006,CEC,CEC
2007-CEC,2007,CEC,CEC
2008-CEC,2008,CEC,CEC
2009-CEC,2009,CEC,CEC
2010-CEC,2010,CEC,CEC
2011-CEC,2011,CEC,CEC
2001-CGS,2001,CGS,CGS
2001-CH-47F,2001,CH-47F,CH-47F
2002-CH-47F,2002,CH-47F,CH-47F
2003-CH-47F,2003,CH-47F,CH-47F
2004-CH-47F,2004,CH-47F,CH-47F
2005-CH-47F,2005,CH-47F,CH-47F
2006-CH-47F,2006,CH-47F,CH-47F
2007-CH-47F,2007,CH-47F,CH-47F
2008-CH-47F,2008,CH-47F,CH-47F
2009-CH-47F,2009,CH-47F,CH-47F
2010-CH-47F,2010,CH-47F,CH-47F
2011-CH-47F,2011,CH-47F,CH-47F
2006-CH-53K (HLR),2006,CH-53K (HLR),CH-53K
2007-CH-53K,2007,CH-53K,CH-53K
2008-CH-53K,2008,CH-53K,CH-53K
2009-CH-53K,2009,CH-53K,CH-53K
2010-CH-53K,2010,CH-53K,CH-53K
2011-CH-53K,2011,CH-53K,CH-53K
2001-CHEM DEMIL-COMBINED,2001,CHEM DEMIL-COMBINED,CHEM DEMIL-COMBINED
2002-CHEM DEMIL-COMBINED,2002,CHEM DEMIL-COMBINED,CHEM DEMIL-COMBINED
2003-CHEM DEMIL-COMBINED,2003,CHEM DEMIL-COMBINED,CHEM DEMIL-COMBINED
2004-DEMIL-ACWA CHEM,2004,DEMIL-ACWA CHEM,CHEM DEMIL-ACWA
2005-CHEM DEMIL-ACWA,2005,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2006-CHEM DEMIL-ACWA,2006,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2007-CHEM DEMIL-ACWA,2007,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2008-CHEM DEMIL-ACWA,2008,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2009-CHEM DEMIL-ACWA,2009,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2010-CHEM DEMIL-ACWA,2010,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2011-CHEM DEMIL-ACWA,2011,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA
2004-DEMIL--CMA CHEM,2004,DEMIL--CMA CHEM,CHEM DEMIL-CMA
2005-CHEM DEMIL--CMA,2005,CHEM DEMIL--CMA,CHEM DEMIL-CMA
2006-CHEM DEMIL-CMA,2006,CHEM DEMIL-CMA,CHEM DEMIL-CMA
2007-CHEM DEMIL-CMA,2007,CHEM DEMIL-CMA,CHEM DEMIL-CMA
2008-CHEM DEMIL-CMA,2008,CHEM DEMIL-CMA,CHEM DEMIL-CMA
2009-CHEM DEMIL-CMA,2009,CHEM DEMIL-CMA,CHEM DEMIL-CMA
2010-CHEM DEMIL-CMA,2010,CHEM DEMIL-CMA,CHEM DEMIL-CMA
2011-CHEM DEMIL-CMA,2011,CHEM DEMIL-CMA,CHEM DEMIL-CMA
2004-DEMIL-NEWPORT,2004,DEMIL-NEWPORT,CHEM DEMIL-NEWPORT
2005-CHEM DEMIL-NEWPORT,2005,CHEM DEMIL-NEWPORT,CHEM DEMIL-NEWPORT
2006-CHEM DEMIL-NEWPORT,2006,CHEM DEMIL-NEWPORT,CHEM DEMIL-NEWPORT
2004-COBRA JUDY (RDT&E),2004,COBRA JUDY (RDT&E),COBRA JUDY REPLACEMENT
2005-COBRA JUDY,2005,COBRA JUDY,COBRA JUDY REPLACEMENT
2006-COBRA JUDY,2006,COBRA JUDY,COBRA JUDY REPLACEMENT
2007-COBRA JUDY REPLACEMENT,2007,COBRA JUDY REPLACEMENT,COBRA JUDY REPLACEMENT
2008-COBRA JUDY REPLACEMENT,2008,COBRA JUDY REPLACEMENT,COBRA JUDY REPLACEMENT
2009-COBRA JUDY REPLACEMENT,2009,COBRA JUDY REPLACEMENT,COBRA JUDY REPLACEMENT
2010-COBRA JUDY REPLACEMENT,2010,COBRA JUDY REPLACEMENT,COBRA JUDY REPLACEMENT
2011-COBRA JUDY REPLACEMENT,2011,COBRA JUDY REPLACEMENT,COBRA JUDY REPLACEMENT
2001-COMANCHE,2001,COMANCHE,COMANCHE
2002-COMANCHE,2002,COMANCHE,COMANCHE
2003-COMANCHE,2003,COMANCHE,COMANCHE
2001-CRUSADER (RDT&E),2001,CRUSADER (RDT&E),CRUSADER
2001-CVNX (RDT&E),2001,CVNX (RDT&E),CVN 21
2002-CVN 21 (RDT&E Only),2002,CVN 21 (RDT&E Only),CVN 21
2003-CVN 21 (RDT&E Only),2003,CVN 21 (RDT&E Only),CVN 21
2004-CVN 21,2004,CVN 21,CVN 21
2005-CVN 21,2005,CVN 21,CVN 21
2006-CVN 21,2006,CVN 21,CVN 21
2007-CVN 21,2007,CVN 21,CVN 21
2008-CVN 21,2008,CVN 21,CVN 21
2001-CVN-68 Class,2001,CVN-68 Class,CVN 68
2002-CVN 68,2002,CVN 68,CVN 68
2003-CVN-68,2003,CVN-68,CVN 68
2004-CVN-68,2004,CVN-68,CVN 68
2005-CVN-68,2005,CVN-68,CVN 68
2006-CVN 68,2006,CVN 68,CVN 68
2007-CVN 68,2007,CVN 68,CVN 68
2008-CVN 68,2008,CVN 68,CVN 68
2009-CVN 68,2009,CVN 68,CVN 68
2001-DD(X) (RDT&E),2001,DD(X) (RDT&E),CVN 78
2009-CVN 78,2009,CVN 78,CVN 78
2010-CVN 78 CLASS,2010,CVN 78 CLASS,CVN 78
2011-CVN 78 CLASS,2011,CVN 78 CLASS,CVN 78
2005-DD(X),2005,DD(X),DDG 1000
2006-DDG 1000 (DD(X)),2006,DDG 1000 (DD(X)),DDG 1000
2007-DDG 1000,2007,DDG 1000,DDG 1000
2008-DDG 1000,2008,DDG 1000,DDG 1000
2009-DDG 1000,2009,DDG 1000,DDG 1000
2010-DDG 1000,2010,DDG 1000,DDG 1000
2011-DDG 1000,2011,DDG 1000,DDG 1000
2001-DD(X) (RDT&E),2001,DD(X) (RDT&E),DDG 1000 (RDT&E)
2002-DD(X) (RDT&E Only),2002,DD(X) (RDT&E Only),DDG 1000 (RDT&E)
2003-DD(X) (RDT&E Only),2003,DD(X) (RDT&E Only),DDG 1000 (RDT&E)
2004-DD(X) (RDT&E),2004,DD(X) (RDT&E),DDG 1000 (RDT&E)
2001-DDG 51,2001,DDG 51,DDG 51
2002-DDG 51,2002,DDG 51,DDG 51
2003-DDG 51,2003,DDG 51,DDG 51
2004-DDG 51,2004,DDG 51,DDG 51
2005-DDG 51,2005,DDG 51,DDG 51
2006-DDG 51,2006,DDG 51,DDG 51
2007-DDG 51,2007,DDG 51,DDG 51
2008-DDG 51,2008,DDG 51,DDG 51
2009-DDG 51,2009,DDG 51,DDG 51
2010-DDG 51,2010,DDG 51,DDG 51
2011-DDG 51,2011,DDG 51,DDG 51
2007-DIMHRS,2007,DIMHRS,DIMHRS
2000-DoD Subtotal,2000,DoD Subtotal,DoD Subtotal
2001-DoD Subtotal,2001,DoD Subtotal,DoD Subtotal
2002-DoD Subtotal,2002,DoD Subtotal,DoD Subtotal
2003-DoD Subtotal,2003,DoD Subtotal,DoD Subtotal
2004-DoD Subtotal,2004,DoD Subtotal,DoD Subtotal
2005-DoD Subtotal,2005,DoD Subtotal,DoD Subtotal
2006-DoD Subtotal,2006,DoD Subtotal,DoD Subtotal
2007-DoD Subtotal,2007,DoD Subtotal,DoD Subtotal
2008-DoD Subtotal,2008,DoD Subtotal,DoD Subtotal
2009-DoD Subtotal,2009,DoD Subtotal,DoD Subtotal
2010-DoD Subtotal,2010,DoD Subtotal,DoD Subtotal
2011-DoD Subtotal,2011,DoD Subtotal,DoD Subtotal
2012-DoD Subtotal,2012,DoD Subtotal,DoD Subtotal
2013-DoD Subtotal,2013,DoD Subtotal,DoD Subtotal
2001-E-2C REPRO,2001,E-2C REPRO,E-2C REPRODUCTION
2002-E-2C REPRODUCTION,2002,E-2C REPRODUCTION,E-2C REPRODUCTION
2003-E-2C REPRODUCTION,2003,E-2C REPRODUCTION,E-2C REPRODUCTION
2004-E-2C REPRODUCTION,2004,E-2C REPRODUCTION,E-2C REPRODUCTION
2005-E-2C REPRODUCTION,2005,E-2C REPRODUCTION,E-2C REPRODUCTION
2006-E-2C REPRODUCTION,2006,E-2C REPRODUCTION,E-2C REPRODUCTION
2003-E-2 ADV HAWKEYE,2003,E-2 ADV HAWKEYE,E-2D AHE
2004-E-2 ADV HAWKEYE,2004,E-2 ADV HAWKEYE,E-2D AHE
2005-E-2 ADV HAWKEYE,2005,E-2 ADV HAWKEYE,E-2D AHE
2006-E-2D AHE,2006,E-2D AHE,E-2D AHE
2007-E-2D AHE,2007,E-2D AHE,E-2D AHE
